,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.7592850049652433,0.7605836446140674,0.7594244650483906,0.7896825396825397,0.7860422466485213,0.7860422466485213,0.763404179397773
1,0.7592850049652433,0.7605836446140674,0.7594244650483906,0.7896825396825397,0.7860422466485213,0.7860422466485213,0.763404179397773
2,0.7592850049652433,0.7605836446140674,0.7594244650483906,0.7896825396825397,0.7860422466485213,0.7860422466485213,0.763404179397773
3,0.7616993545183715,0.7590579252672415,0.7610891938666889,0.7867063492063492,0.7836346931416553,0.7836346931416553,0.7574157553425847
4,0.7616993545183715,0.7582173275088355,0.7609167025295872,0.7857142857142857,0.7827666375860999,0.7827666375860999,0.7557868943387236
5,0.7616993545183715,0.7590579252672415,0.7610891938666889,0.7867063492063492,0.7836346931416553,0.7836346931416553,0.7574157553425847
6,0.7188031005185921,0.7156708508194997,0.7180619522506572,0.748015873015873,0.7444510006145459,0.7444510006145459,0.713929000597104
7,0.7188031005185921,0.7156708508194997,0.7180619522506572,0.748015873015873,0.7444510006145459,0.7444510006145459,0.713929000597104
8,0.7188031005185921,0.7156708508194997,0.7180619522506572,0.748015873015873,0.7444510006145459,0.7444510006145459,0.713929000597104
9,0.7393146125271249,0.7287645554675772,0.7369416111374871,0.7569444444444444,0.7546486637785575,0.7546486637785574,0.7212673247024393
10,0.7371216300709845,0.7282186580962831,0.7351138508827606,0.7569444444444444,0.7544579696519367,0.7544579696519367,0.7219922196666384
11,0.7371216300709845,0.7282186580962831,0.7351138508827606,0.7569444444444444,0.7544579696519367,0.7544579696519367,0.7219922196666384
12,0.7185502409062489,0.7320872430461471,0.721050262520265,0.7688492063492064,0.7629680014669553,0.7629680014669553,0.74860525584949
13,0.7185502409062489,0.7320872430461471,0.721050262520265,0.7688492063492064,0.7629680014669553,0.7629680014669553,0.74860525584949
14,0.7185502409062489,0.7320872430461471,0.721050262520265,0.7688492063492064,0.7629680014669553,0.7629680014669553,0.74860525584949
15,0.7308279543197617,0.7401810948781975,0.7325592379972845,0.7738095238095238,0.7691802732355872,0.7691802732355872,0.7514038778128205
16,0.7308279543197617,0.7401810948781975,0.7325592379972845,0.7738095238095238,0.7691802732355872,0.7691802732355872,0.7514038778128205
17,0.7308279543197617,0.7401810948781975,0.7325592379972845,0.7738095238095238,0.7691802732355872,0.7691802732355872,0.7514038778128205
18,0.7439118301518997,0.7490327043108916,0.7449059032391487,0.7797619047619048,0.7756997918273831,0.7756997918273832,0.7545407502730821
19,0.7439118301518997,0.7490327043108916,0.7449059032391487,0.7797619047619048,0.7756997918273831,0.7756997918273832,0.7545407502730821
20,0.7439118301518997,0.7490327043108916,0.7449059032391487,0.7797619047619048,0.7756997918273831,0.7756997918273832,0.7545407502730821
21,0.7443067508919048,0.7484197932400737,0.7449947295053885,0.7787698412698413,0.7749557815799547,0.7749557815799547,0.7542669879765326
22,0.7443067508919048,0.750087849954002,0.7453357680359216,0.7807539682539683,0.7766918926910658,0.7766918926910658,0.7575137412232857
23,0.7443067508919048,0.7484197932400737,0.7449947295053885,0.7787698412698413,0.7749557815799547,0.7749557815799547,0.7542669879765326
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,,
44,,,,,,,
45,,,,,,,
46,,,,,,,
47,,,,,,,
48,0.7765456618485416,0.7738564240952919,0.7759394167179908,0.800595238095238,0.7972886329288309,0.7972886329288309,0.7719912904564941
49,0.7765456618485416,0.7756133781364729,0.776280300773285,0.802579365079365,0.7990128528679482,0.7990128528679482,0.7756446712932301
50,0.7765456618485416,0.7747358387568932,0.7761080363749959,0.8015873015873015,0.7981447973123926,0.7981447973123926,0.7738477261000585
51,0.778938633270808,0.7771476472022562,0.7784979641937091,0.8035714285714286,0.8001185332656733,0.8001185332656734,0.7763969431123998
52,0.7812534480856229,0.7812796998156172,0.7811735293692742,0.8075396825396826,0.8038801073397475,0.8038801073397475,0.7823805210299399
53,0.7812534480856229,0.7812796998156172,0.7811735293692742,0.8075396825396826,0.8038801073397475,0.8038801073397475,0.7823805210299399
54,0.7507222590018021,0.7499099840794997,0.7505078732380344,0.7787698412698413,0.7753841504338759,0.7753841504338758,0.7497493892197282
55,0.7573012063702232,0.7521753789731102,0.7561943949407304,0.7797619047619048,0.7768585988655612,0.7768585988655611,0.7480422900867665
56,0.7573012063702232,0.7530055989814123,0.7563647567551518,0.7807539682539683,0.7777266544211167,0.7777266544211167,0.749651041695518
57,0.755283846408474,0.7469249784364632,0.7533586586803888,0.7738095238095238,0.7714172377703868,0.7714172377703868,0.7415594492603024
58,0.755283846408474,0.7469249784364632,0.7533586586803888,0.7738095238095238,0.7714172377703868,0.7714172377703868,0.7415594492603024
59,0.755283846408474,0.7469249784364632,0.7533586586803888,0.7738095238095238,0.7714172377703868,0.7714172377703868,0.7415594492603024
60,0.7477596638346389,0.7575374837296004,0.7495151370271913,0.7886904761904763,0.7833821849593539,0.7833821849593539,0.7702298725467722
61,0.7477596638346389,0.7575374837296004,0.7495151370271913,0.7886904761904763,0.7833821849593539,0.7833821849593539,0.7702298725467722
62,0.7477596638346389,0.7575374837296004,0.7495151370271913,0.7886904761904763,0.7833821849593539,0.7833821849593539,0.7702298725467722
