,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_auc,mean_test_balanced_accuracy,mean_test_precision_score
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,0.5208333333333334,0.4362889482982349,0.6000018773525574,0.577343046211642,0.577343046211642,0.377018722018722
13,,,,,,
14,,,,,,
15,0.5125000000000001,0.4352781687581872,0.6062487679873841,0.5794200304755334,0.5794200304755334,0.38071475797752025
16,0.5125000000000001,0.4352781687581872,0.6062487679873841,0.5794200304755334,0.5794200304755334,0.38071475797752025
17,0.5208333333333334,0.4362889482982349,0.6000018773525574,0.577343046211642,0.577343046211642,0.377018722018722
18,0.5125000000000001,0.4352781687581872,0.6062487679873841,0.5794200304755334,0.5794200304755334,0.38071475797752025
19,0.5125000000000001,0.4352781687581872,0.6062487679873841,0.5794200304755334,0.5794200304755334,0.38071475797752025
20,,,,,,
21,,,,,,
22,0.5416666666666666,0.4470316037737622,0.6024940628725372,0.5850667490847756,0.5850667490847757,0.3830542177988765
23,,,,,,
24,,,,,,
25,0.5333333333333333,0.441846814023156,0.601250316803244,0.5817961397657793,0.5817961397657793,0.37972675472675466
26,0.5333333333333333,0.441846814023156,0.601250316803244,0.5817961397657793,0.5817961397657793,0.37972675472675466
27,0.5416666666666666,0.4470316037737622,0.6024940628725372,0.5850667490847756,0.5850667490847757,0.3830542177988765
28,0.5333333333333333,0.441846814023156,0.601250316803244,0.5817961397657793,0.5817961397657793,0.37972675472675466
29,0.5333333333333333,0.441846814023156,0.601250316803244,0.5817961397657793,0.5817961397657793,0.37972675472675466
30,,,,,,
31,,,,,,
32,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
33,,,,,,
34,,,,,,
35,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
36,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
37,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
38,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
39,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
40,,,,,,
41,,,,,,
42,0.5375,0.44406454832051895,0.6012456234218505,0.5829834157514423,0.5829834157514423,0.38090900327742433
43,,,,,,
44,,,,,,
45,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
46,0.5333333333333333,0.4410643414096975,0.5999971839711639,0.580900082418109,0.580900082418109,0.37872045108887215
