,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_precision_score,mean_test_auc,mean_test_fbeta_score,mean_test_balanced_accuracy
0,0.6747403263887304,0.682069700134591,0.7205354846455863,0.689821764839226,0.716064762080098,0.6761738418450209,0.716064762080098
1,0.6793031076917325,0.6846017412067594,0.721915632698386,0.6902496919152004,0.71774907543244,0.6803358247338658,0.71774907543244
2,0.6691579589114829,0.668033868875417,0.7045263462309677,0.6671051540343587,0.7010768429167737,0.6689173740840153,0.7010768429167737
3,0.6651213227570025,0.6645363655249039,0.7016291476054477,0.6641086112250011,0.6980471793128404,0.6649917224586471,0.6980471793128404
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,0.6762517100179581,0.6832018368365633,0.7213636039508375,0.6904769375612514,0.7169329695316911,0.6776167387083027,0.7169329695316911
13,0.6768559042320443,0.6834943035338863,0.721501649229689,0.6905104933132686,0.7171348874219104,0.678154563623398,0.7171348874219104
14,0.6660818519125857,0.6656589585438714,0.7027320623416136,0.6654534094388206,0.6991690947428237,0.6659798353757304,0.6991690947428237
15,0.6654999574315178,0.6655759404735236,0.7028706409079662,0.6658540126405934,0.6992309787777198,0.6654990199297429,0.6992309787777198
16,0.6722708231960237,0.6805192067457838,0.7195695486132697,0.6892254408826243,0.714950423724819,0.6738855423176939,0.714950423724819
17,0.6747132074715035,0.6818464557671313,0.7202591655360971,0.6893953255062746,0.7158107589704947,0.6761080170906092,0.7158107589704947
18,0.6599127707700616,0.6611951004379044,0.6995574780316023,0.6627483325296851,0.6957136638968691,0.6601478132553276,0.6957136638968691
19,0.6595947046123009,0.6615250602801471,0.7001098115148656,0.6636584042631748,0.6961499147168607,0.6599647983499486,0.6961499147168607
20,0.6729021363273369,0.6808295116602355,0.7197074415242637,0.6892041722195615,0.715139817664213,0.6744534401027157,0.715139817664213
21,0.6747132074715035,0.6818464557671313,0.7202591655360971,0.6893953255062746,0.7158107589704947,0.6761080170906092,0.7158107589704947
22,0.660217277469209,0.6612012909144741,0.6994195089366796,0.6624365071368592,0.6956135194032276,0.6603941657854226,0.6956135194032276
23,0.6595835547457918,0.6613162357296627,0.6998337971410914,0.6632388611126412,0.6958962533471413,0.6599151158503076,0.6958962533471413
24,0.6747403263887304,0.682069700134591,0.7205354846455863,0.689821764839226,0.716064762080098,0.6761738418450209,0.716064762080098
25,0.6793031076917325,0.6846017412067594,0.721915632698386,0.6902496919152004,0.71774907543244,0.6803358247338658,0.71774907543244
26,0.6691579589114829,0.668033868875417,0.7045263462309677,0.6671051540343587,0.7010768429167737,0.6689173740840153,0.7010768429167737
27,0.6651213227570025,0.6645363655249039,0.7016291476054477,0.6641086112250011,0.6980471793128404,0.6649917224586471,0.6980471793128404
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,0.6750719520051047,0.6821736023773475,0.720535560829515,0.689672481954261,0.716097394685953,0.6764618376225205,0.716097394685953
37,0.6781097902202657,0.6846489472604472,0.7224676614459344,0.6915625176295676,0.7181275566652477,0.6793888253084202,0.7181275566652476
38,0.6676242755492368,0.666686695952741,0.7034221363680135,0.6659833353898976,0.6999483315745545,0.6674178976253204,0.6999483315745545
39,0.6660731116381807,0.6654637378826004,0.7024570383589128,0.6650434255877804,0.6989056634017277,0.6659360560029384,0.6989056634017277
40,0.675338189920516,0.6824749320482705,0.7208116513872179,0.6899903711576357,0.7163614306581472,0.676736507071945,0.7163614306581472
41,0.6780986403537564,0.6838920076897435,0.7215014206779029,0.6900681893335634,0.7172701159924656,0.6792278022099407,0.7172701159924655
42,0.6642499925334929,0.6644226513846532,0.7019039430363623,0.6648332886087173,0.6982482558464314,0.6642655303579348,0.6982482558464314
43,0.6623647934139585,0.6628778937957026,0.7006622973659864,0.663572311526808,0.6969187552316155,0.6624529798033347,0.6969187552316155
44,0.675338189920516,0.6824749320482705,0.7208116513872179,0.6899903711576357,0.7163614306581472,0.676736507071945,0.7163614306581472
