Nr,Name,Type,Code,descr_vals,dat_vals
1,loan_nr,float64,NUMLENI,,
2,loan_amt,float64,BLENIA1,,
3,invoiced_amt,float64,BFACTA1,,
4,burden_per,float64,PLASTA1,,
5,duration,float64,PDUURA2,,
6,loan_target,category,CDOELA2,,34
7,code,category,CGEBRA1,2,2
8,humanity,float64,BMENSA1,,
9,save_amt,float64,BSPARA11,,
10,other_exp,float64,BUITGA21,,
11,income,float64,BINKOA11,,
12,employment,float64,DBEGIA21,,
13,belgium_res,float64,DVERBA11,,
14,age,float64,DGEBOA11,,
15,priv_code,category,CPRIVA11,4,2
16,civ_code,category,CBURGA11,7,5
17,lastmove_yrs,float64,DVERBA21,,
18,loyal_code,category,CTROSA11,3,2
19,property,category,CEIGEA11,7,4
20,client_yrs,float64,DCLIEA11,,
21,lastloan_yrs,float64,DLLENA11,,
22,curracc_nr,float64,ACONTCV1,,
23,termacc_nr,float64,ACONTTM1,,
24,mortloan_nr,float64,ACONTHY1,,
25,dependents,float64,APERSA11,,
26,econsec_code,category,CECOTA11,8,8
27,employ_code,category,CVOLTA11,7,7
28,title_code,category,CAANSA11,6,3
29,censor,bool,CLASS,,
